,carrier,carrier_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,9E,Endeavor Air Inc.,23365.0,3965.0,946.29,139.99,1278.19,1.45,1599.17,246.0,57.0,305080.0,81530.0,22658.0,73966.0,150.0,126776.0
1,AA,American Airlines Inc.,79405.0,14617.0,4510.56,296.89,4924.37,36.08,4848.98,177.0,134.0,906494.0,321322.0,23198.0,203348.0,1361.0,357265.0
2,AS,Alaska Airlines Inc.,21993.0,5469.0,1347.44,58.85999999999999,2225.01,23.97,1813.73,241.0,51.0,313653.0,87950.0,3785.0,96684.0,896.0,124338.0
3,B6,JetBlue Airways,25217.0,8131.0,2746.45,70.53999999999999,2422.77,10.58,2880.69,183.0,71.0,723298.0,238720.0,12637.0,158828.0,456.0,312657.0
4,DL,Delta Air Lines Inc.,81524.0,12444.0,3825.61,460.67,4671.65,8.35,3477.6,26.0,93.0,734728.0,257675.0,43330.0,217742.0,436.0,215545.0
5,EV,ExpressJet Airlines LLC,11203.0,2694.0,640.84,59.48,1090.03,0.0,903.6800000000001,233.0,39.0,254148.0,79871.0,8325.0,87490.0,0.0,78462.0
6,F9,Frontier Airlines Inc.,12267.0,2882.0,899.14,23.88,910.2,0.0,1048.83,139.0,13.0,193371.0,57460.0,1633.0,44321.0,0.0,89957.0
7,G4,Allegiant Air,9381.0,2395.0,532.3,136.57,684.02,22.169999999999998,1019.96,70.0,15.0,160333.0,51789.0,12268.0,27541.0,804.0,67931.0
8,HA,Hawaiian Airlines Inc.,7276.0,813.0,557.16,15.43,15.24,4.61,220.56,8.0,1.0,28379.0,20721.0,452.0,369.0,159.0,6678.0
9,MQ,Envoy Air,27100.0,5528.0,1125.0900000000001,334.85,1688.88,8.5,2370.64,379.0,88.0,368659.0,79169.0,39127.0,74871.0,286.0,175206.0
10,NK,Spirit Air Lines,17299.0,3124.0,744.18,77.41,1549.82,27.53,725.1,98.0,25.0,207161.0,49635.0,9233.0,88978.0,943.0,58372.0
11,OH,PSA Airlines Inc.,24276.0,5769.0,1402.53,111.56,1503.57,6.98,2744.29,273.0,72.0,392976.0,101718.0,12629.0,58039.0,349.0,220241.0
12,OO,SkyWest Airlines Inc.,72004.0,13865.0,3672.43,699.02,3605.4900000000002,24.6,5863.44,1531.0,340.0,1272226.0,473345.0,127948.0,185341.0,838.0,484754.0
13,UA,United Air Lines Inc.,51291.0,10693.0,2318.0,248.9,4581.42,0.0,3544.75,139.0,92.0,750628.0,161066.0,27418.0,255759.0,0.0,306385.0
14,WN,Southwest Airlines Co.,114442.0,23993.0,8682.66,136.7,4184.09,86.09,10903.51,1194.0,137.0,1143380.0,401750.0,11873.0,167596.0,3742.0,558419.0
15,YV,Mesa Airlines Inc.,18843.0,4522.0,1384.6000000000001,158.79,756.73,8.030000000000001,2213.85,298.0,58.0,402360.0,142485.0,16910.0,30524.0,348.0,212093.0
16,YX,Republic Airline,28877.0,6041.0,1152.77,131.62,2560.35,8.35,2187.94,558.0,72.0,427546.0,78608.0,15920.0,150751.0,313.0,181954.0
